"tract","pop","pop_den","p_kids","p_seniors","p_female","p_white","some_college","med_hh_inc","p_poverty"
10500,6853,3.9891208495948e-09,12.7827228950824,17.1165912738946,53.8012549248504,80.8113235079527,1326,71535,9.20634920634921
10600,8156,3.14381615380972e-09,18.4771947032859,13.155958803335,50.0490436488475,76.0789602746444,1617,88320,6.95127952755906
10701,3702,2.54179371959093e-09,25.472717450027,5.9967585089141,47.4878444084279,47.9740680713128,857,59493,27.4752475247525
10702,4386,5.58929829976451e-09,30.8937528499772,8.3219334245326,54.3547651618787,27.3141814865481,828,41951,36.7388825541619
10800,4845,1.095084448868e-09,22.2703818369453,10.0515995872033,49.2466460268318,49.969040247678,1044,80618,12.9453932110479
10900,1109,2.19055199619805e-10,6.49233543733093,6.0414788097385,42.200180342651,74.8422001803427,313,60128,11.7967332123412
11001,4794,4.47714086743411e-09,28.1184814351272,17.1255736337088,54.3387567793075,13.4334584897789,707,23904,46.6331025802391
11002,4798,2.86257742279304e-09,30.8253438932889,12.5260525218841,47.8532721967486,8.71196331804919,510,50259,35.0979574822843
11101,5137,4.4655425484635e-09,16.6634222308741,13.7239634027643,53.2022581273117,18.4543507883979,1063,51907,16.471048513302
11102,4689,3.59799300497214e-09,21.6890595009597,14.3100874386863,52.5911708253359,37.9611857538921,615,61593,23.1659388646288
11200,3821,1.27656703334927e-09,29.678094739597,9.42161737764983,51.0075896362209,37.1368751635697,674,34605,31.664853101197
11300,6972,2.17889203380084e-09,21.3568559954102,15.2180149168101,56.2822719449225,47.5473321858864,2103,47600,6.77038317487756
11401,4268,3.46104038492835e-09,17.8772258669166,5.24835988753514,48.3833177132146,45.0562324273665,1060,58241,14.9015932521087
11402,4573,3.8552173714702e-09,20.8397113492237,13.0986223485677,49.967198775421,42.9040017493986,791,49014,14.5418762300459
11500,4450,2.89266609688728e-09,16.8539325842697,10.1348314606742,50.5842696629213,76.0674157303371,980,83457,5.53555355535554
11600,7001,2.25120018448304e-09,19.2543922296815,15.1978288815883,55.1349807170404,85.9877160405656,1303,111426,5.56354226566993
11700,5399,1.53961581577296e-09,21.3928505278755,12.094832376366,46.2307834784219,12.8357103167253,993,65772,13.6506760511206
11800,8189,3.55870361564783e-09,24.7771400659421,9.02430089143974,53.4619611674197,18.0119672731713,1448,44599,34.5463426547808
11900,7592,2.38786244887451e-09,23.8672286617492,12.5131717597471,48.9462592202318,21.904636459431,1475,70655,19.8651863600317
12000,3496,2.41517906328247e-09,21.7677345537757,10.6121281464531,46.5675057208238,81.779176201373,693,90688,6.52173913043478
12100,2731,1.58659589687525e-09,18.4913950933724,22.1896741120469,53.2039545953863,77.920175759795,693,113958,2.07869339272457
26500,4359,2.18450070330524e-09,26.3133746272081,10.6675843083276,52.9479238357421,25.8774948382657,869,36733,28.7286349800983
